,name,f1,tn,fn,fp,tp,tnr,fnr,fpr,tpr
0,BMRC,0.5800865800865801,21,72,25,67,0.22580645161290322,0.7741935483870968,0.2717391304347826,0.7282608695652174
1,BMY,0.5418719211822661,37,46,47,55,0.4457831325301205,0.5542168674698795,0.46078431372549017,0.5392156862745098
2,BLL,0.6642599277978339,0,93,0,92,0.0,1.0,0.0,1.0
3,BRN,0.27586206896551724,85,31,53,16,0.7327586206896551,0.2672413793103448,0.7681159420289855,0.2318840579710145
4,BRBS,0.08333333333333333,36,2,20,1,0.9473684210526315,0.05263157894736842,0.9523809523809523,0.047619047619047616
5,BQH,0.28571428571428575,73,21,69,18,0.776595744680851,0.22340425531914893,0.7931034482758621,0.20689655172413793
6,BPY,0.208,73,31,68,13,0.7019230769230769,0.2980769230769231,0.8395061728395061,0.16049382716049382
7,BURL,0.0,93,0,92,0,1.0,0.0,1.0,0.0
8,BSQR,0.0,111,0,74,0,1.0,0.0,1.0,0.0
9,BSGM,0.5877862595419848,0,108,0,77,0.0,1.0,0.0,1.0
10,BSMX,0.19354838709677416,73,28,72,12,0.7227722772277227,0.27722772277227725,0.8571428571428571,0.14285714285714285
11,BRID,0.19642857142857142,72,20,70,11,0.782608695652174,0.21739130434782608,0.8641975308641975,0.13580246913580246
12,BREW,0.0,107,0,78,0,1.0,0.0,1.0,0.0
13,BPYPO,0.5,16,10,6,8,0.6153846153846154,0.38461538461538464,0.42857142857142855,0.5714285714285714
14,BTZ,0.0,93,0,92,0,1.0,0.0,1.0,0.0
15,BSTC,0.4444444444444445,52,43,52,38,0.5473684210526316,0.45263157894736844,0.5777777777777777,0.4222222222222222
16,BRPAU,0.0,10,0,4,0,1.0,0.0,1.0,0.0
17,BZM,0.023529411764705882,94,2,81,1,0.9791666666666666,0.020833333333333332,0.9878048780487805,0.012195121951219513
18,CAL,0.4347826086956522,41,61,43,40,0.4019607843137255,0.5980392156862745,0.5180722891566265,0.4819277108433735
19,BXMT,0.7152777777777777,0,82,0,103,0.0,1.0,0.0,1.0
20,C,0.6545454545454547,0,95,0,90,0.0,1.0,0.0,1.0
21,BXS,0.5955555555555556,27,78,13,67,0.2571428571428571,0.7428571428571429,0.1625,0.8375
22,CAG,0.7017543859649124,0,85,0,100,0.0,1.0,0.0,1.0
23,BX,0.4293785310734463,46,38,63,38,0.5476190476190477,0.4523809523809524,0.6237623762376238,0.37623762376237624
24,BVN,0.6642599277978339,0,93,0,92,0.0,1.0,0.0,1.0
25,CAJ,0.0,94,0,91,0,1.0,0.0,1.0,0.0
26,BWFG,0.0,98,0,87,0,1.0,0.0,1.0,0.0
27,CARV,0.0,102,0,72,0,1.0,0.0,1.0,0.0
28,CARE,0.0,90,0,95,0,1.0,0.0,1.0,0.0
29,CBOE,0.6341463414634148,17,69,21,78,0.19767441860465115,0.8023255813953488,0.21212121212121213,0.7878787878787878
30,CBSH,0.5767441860465117,32,52,39,62,0.38095238095238093,0.6190476190476191,0.38613861386138615,0.6138613861386139
31,CANF,0.0,108,0,77,0,1.0,0.0,1.0,0.0
